c,k,s,t
0.41,2.2,2.518,0.00273972602739726
0.531,2.2,2.587,0.00273972602739726
0.492,2.2,2.649,0.00273972602739726
0.528,2.2,2.684,0.00273972602739726
0.7762,2.2,2.758,0.00273972602739726
0.719,2.2,2.872,0.00273972602739726
0.9414,2.2,2.911,0.00273972602739726
0.787,2.2,2.939,0.00273972602739726
0.0883,2.202,2.168,0.00273972602739726
0.151,2.202,2.229,0.00273972602739726
0.362,2.202,2.429,0.00273972602739726
0.087,2.205,2.255,0.00273972602739726
0.191,2.205,2.358,0.00273972602739726
0.487,2.205,2.649,0.00273972602739726
0.714,2.205,2.872,0.00273972602739726
0.684,2.209,2.791,0.00273972602739726
0.0002,2.25,1.748,0.00273972602739726
0.0002,2.25,1.815,0.00273972602739726
0.0001,2.25,1.881,0.00273972602739726
0.0001,2.25,1.918,0.00273972602739726
0.0001,2.25,1.957,0.00273972602739726
0.0002,2.25,1.995,0.00273972602739726
0.0003,2.25,2.01,0.00273972602739726
0.0008,2.25,2.064,0.00273972602739726
0.0023,2.25,2.066,0.00273972602739726
0.0088,2.25,2.073,0.00273972602739726
0.04,2.25,2.122,0.00273972602739726
0.069,2.25,2.149,0.00273972602739726
0.0399,2.25,2.168,0.00273972602739726
0.0985,2.25,2.176,0.00273972602739726
0.092,2.25,2.218,0.00273972602739726
0.103,2.25,2.229,0.00273972602739726
0.104,2.25,2.23,0.00273972602739726
0.158,2.25,2.232,0.00273972602739726
0.042,2.25,2.255,0.00273972602739726
0.1942,2.25,2.265,0.00273972602739726
0.143,2.25,2.267,0.00273972602739726
0.153,2.25,2.276,0.00273972602739726
0.2403,2.25,2.308,0.00273972602739726
0.189,2.25,2.353,0.00273972602739726
0.146,2.25,2.358,0.00273972602739726
0.2467,2.25,2.408,0.00273972602739726
0.264,2.25,2.423,0.00273972602739726
0.314,2.25,2.429,0.00273972602739726
0.3906,2.25,2.445,0.00273972602739726
0.35,2.25,2.509,0.00273972602739726
0.36,2.25,2.518,0.00273972602739726
0.481,2.25,2.587,0.00273972602739726
0.442,2.25,2.649,0.00273972602739726
0.478,2.25,2.684,0.00273972602739726
0.7291,2.25,2.758,0.00273972602739726
0.669,2.25,2.872,0.00273972602739726
0.8915,2.25,2.911,0.00273972602739726
0.737,2.25,2.939,0.00273972602739726
0.0394,2.254,2.255,0.00273972602739726
0.142,2.254,2.358,0.00273972602739726
0.438,2.254,2.649,0.00273972602739726
0.665,2.254,2.872,0.00273972602739726
0.635,2.258,2.791,0.00273972602739726
0.0042,2.299,2.168,0.00273972602739726
0.054,2.299,2.229,0.00273972602739726
0.055,2.299,2.23,0.00273972602739726
0.265,2.299,2.429,0.00273972602739726
0.0001,2.3,1.748,0.00273972602739726
0.0001,2.3,1.815,0.00273972602739726
0.0001,2.3,1.881,0.00273972602739726
0.0001,2.3,1.918,0.00273972602739726
0.0001,2.3,1.957,0.00273972602739726
0.0001,2.3,1.995,0.00273972602739726
0.0001,2.3,2.01,0.00273972602739726
0.0002,2.3,2.064,0.00273972602739726
0.0003,2.3,2.066,0.00273972602739726
0.0007,2.3,2.073,0.00273972602739726
0.0041,2.3,2.122,0.00273972602739726
0.019,2.3,2.149,0.00273972602739726
0.0042,2.3,2.168,0.00273972602739726
0.0501,2.3,2.176,0.00273972602739726
0.042,2.3,2.218,0.00273972602739726
0.053,2.3,2.229,0.00273972602739726
0.054,2.3,2.23,0.00273972602739726
0.108,2.3,2.232,0.00273972602739726
0.0105,2.3,2.255,0.00273972602739726
0.1444,2.3,2.265,0.00273972602739726
0.093,2.3,2.267,0.00273972602739726
0.103,2.3,2.276,0.00273972602739726
0.1901,2.3,2.308,0.00273972602739726
0.139,2.3,2.353,0.00273972602739726
0.096,2.3,2.358,0.00273972602739726
0.196,2.3,2.408,0.00273972602739726
0.2141,2.3,2.423,0.00273972602739726
0.264,2.3,2.429,0.00273972602739726
0.34,2.3,2.445,0.00273972602739726
0.3,2.3,2.509,0.00273972602739726
0.31,2.3,2.518,0.00273972602739726
0.383,2.3,2.541,0.00273972602739726
0.431,2.3,2.587,0.00273972602739726
0.392,2.3,2.649,0.00273972602739726
0.4286,2.3,2.684,0.00273972602739726
0.6763,2.3,2.758,0.00273972602739726
0.619,2.3,2.872,0.00273972602739726
0.8415,2.3,2.911,0.00273972602739726
0.687,2.3,2.939,0.00273972602739726
0.0094,2.303,2.255,0.00273972602739726
0.093,2.303,2.358,0.00273972602739726
0.389,2.303,2.649,0.00273972602739726
0.616,2.303,2.872,0.00273972602739726
0.586,2.307,2.791,0.00273972602739726
0.0001,2.348,2.168,0.00273972602739726
0.0072,2.348,2.229,0.00273972602739726
0.0076,2.348,2.23,0.00273972602739726
0.216,2.348,2.429,0.00273972602739726
0.0001,2.35,1.748,0.00273972602739726
0.0001,2.35,1.815,0.00273972602739726
0.0001,2.35,1.881,0.00273972602739726
0.0001,2.35,1.957,0.00273972602739726
0.0001,2.35,2.01,0.00273972602739726
0.0001,2.35,2.064,0.00273972602739726
0.0001,2.35,2.066,0.00273972602739726
0.0005,2.35,2.073,0.00273972602739726
0.0003,2.35,2.122,0.00273972602739726
0.0005,2.35,2.149,0.00273972602739726
0.0001,2.35,2.168,0.00273972602739726
0.0106,2.35,2.176,0.00273972602739726
0.0013,2.35,2.218,0.00273972602739726
0.0063,2.35,2.229,0.00273972602739726
0.0058,2.35,2.23,0.00273972602739726
0.058,2.35,2.232,0.00273972602739726
0.0021,2.35,2.255,0.00273972602739726
0.0943,2.35,2.265,0.00273972602739726
0.043,2.35,2.267,0.00273972602739726
0.053,2.35,2.276,0.00273972602739726
0.1405,2.35,2.308,0.00273972602739726
0.089,2.35,2.353,0.00273972602739726
0.046,2.35,2.358,0.00273972602739726
0.146,2.35,2.408,0.00273972602739726
0.1642,2.35,2.423,0.00273972602739726
0.214,2.35,2.429,0.00273972602739726
0.17,2.35,2.431,0.00273972602739726
0.2952,2.35,2.445,0.00273972602739726
0.25,2.35,2.509,0.00273972602739726
0.26,2.35,2.518,0.00273972602739726
0.333,2.35,2.541,0.00273972602739726
0.381,2.35,2.587,0.00273972602739726
0.3431,2.35,2.649,0.00273972602739726
0.378,2.35,2.684,0.00273972602739726
0.631,2.35,2.758,0.00273972602739726
0.569,2.35,2.872,0.00273972602739726
0.7913,2.35,2.911,0.00273972602739726
0.637,2.35,2.939,0.00273972602739726
0.0015,2.352,2.255,0.00273972602739726
0.044,2.352,2.358,0.00273972602739726
0.34,2.352,2.649,0.00273972602739726
0.567,2.352,2.872,0.00273972602739726
0.537,2.356,2.791,0.00273972602739726
0.0001,2.397,2.168,0.00273972602739726
0.0002,2.397,2.229,0.00273972602739726
0.0002,2.397,2.23,0.00273972602739726
0.167,2.397,2.429,0.00273972602739726
0.0001,2.4,1.748,0.00273972602739726
0.0001,2.4,1.815,0.00273972602739726
0.0001,2.4,1.881,0.00273972602739726
0.0001,2.4,1.957,0.00273972602739726
0.0001,2.4,2.01,0.00273972602739726
0.0001,2.4,2.066,0.00273972602739726
0.0005,2.4,2.073,0.00273972602739726
0.0001,2.4,2.122,0.00273972602739726
0.0001,2.4,2.149,0.00273972602739726
0.0001,2.4,2.168,0.00273972602739726
0.0008,2.4,2.176,0.00273972602739726
0.0002,2.4,2.218,0.00273972602739726
0.0002,2.4,2.229,0.00273972602739726
0.0001,2.4,2.23,0.00273972602739726
0.008,2.4,2.232,0.00273972602739726
0.0002,2.4,2.255,0.00273972602739726
0.0454,2.4,2.265,0.00273972602739726
0.0022,2.4,2.267,0.00273972602739726
0.0043,2.4,2.276,0.00273972602739726
0.0904,2.4,2.308,0.00273972602739726
0.0427,2.4,2.353,0.00273972602739726
0.0087,2.4,2.358,0.00273972602739726
0.096,2.4,2.408,0.00273972602739726
0.1138,2.4,2.423,0.00273972602739726
0.164,2.4,2.429,0.00273972602739726
0.12,2.4,2.431,0.00273972602739726
0.2387,2.4,2.445,0.00273972602739726
0.2,2.4,2.509,0.00273972602739726
0.21,2.4,2.518,0.00273972602739726
0.283,2.4,2.541,0.00273972602739726
0.289,2.4,2.547,0.00273972602739726
0.331,2.4,2.587,0.00273972602739726
0.292,2.4,2.649,0.00273972602739726
0.328,2.4,2.684,0.00273972602739726
0.5763,2.4,2.758,0.00273972602739726
0.519,2.4,2.872,0.00273972602739726
0.7418,2.4,2.911,0.00273972602739726
0.587,2.4,2.939,0.00273972602739726
0.0002,2.401,2.255,0.00273972602739726
0.0082,2.401,2.358,0.00273972602739726
0.291,2.401,2.649,0.00273972602739726
0.518,2.401,2.872,0.00273972602739726
0.488,2.405,2.791,0.00273972602739726
0.0001,2.446,2.168,0.00273972602739726
0.0001,2.446,2.229,0.00273972602739726
0.0001,2.446,2.23,0.00273972602739726
0.118,2.446,2.429,0.00273972602739726
0.0001,2.45,1.748,0.00273972602739726
0.0001,2.45,1.815,0.00273972602739726
0.0001,2.45,1.881,0.00273972602739726
0.0001,2.45,1.957,0.00273972602739726
0.0001,2.45,2.01,0.00273972602739726
0.0001,2.45,2.066,0.00273972602739726
0.0001,2.45,2.073,0.00273972602739726
0.0001,2.45,2.122,0.00273972602739726
0.0001,2.45,2.168,0.00273972602739726
0.0002,2.45,2.176,0.00273972602739726
0.0001,2.45,2.218,0.00273972602739726
0.0001,2.45,2.229,0.00273972602739726
0.0001,2.45,2.23,0.00273972602739726
0.0002,2.45,2.232,0.00273972602739726
0.0002,2.45,2.255,0.00273972602739726
0.0076,2.45,2.265,0.00273972602739726
0.0003,2.45,2.267,0.00273972602739726
0.0003,2.45,2.276,0.00273972602739726
0.0411,2.45,2.308,0.00273972602739726
0.0112,2.45,2.353,0.00273972602739726
0.0006,2.45,2.358,0.00273972602739726
0.046,2.45,2.408,0.00273972602739726
0.066,2.45,2.423,0.00273972602739726
0.114,2.45,2.429,0.00273972602739726
0.07,2.45,2.431,0.00273972602739726
0.1899,2.45,2.445,0.00273972602739726
0.15,2.45,2.509,0.00273972602739726
0.16,2.45,2.518,0.00273972602739726
0.233,2.45,2.541,0.00273972602739726
0.239,2.45,2.547,0.00273972602739726
0.281,2.45,2.587,0.00273972602739726
0.267,2.45,2.621,0.00273972602739726
0.268,2.45,2.622,0.00273972602739726
0.242,2.45,2.649,0.00273972602739726
0.278,2.45,2.684,0.00273972602739726
0.5265,2.45,2.758,0.00273972602739726
0.469,2.45,2.872,0.00273972602739726
0.6914,2.45,2.911,0.00273972602739726
0.537,2.45,2.939,0.00273972602739726
0.284,2.455,2.643,0.00273972602739726
0.438,2.455,2.791,0.00273972602739726
0.0001,2.495,2.168,0.00273972602739726
0.0001,2.495,2.229,0.00273972602739726
0.0001,2.495,2.23,0.00273972602739726
0.069,2.495,2.429,0.00273972602739726
0.0001,2.5,1.748,0.00273972602739726
0.0001,2.5,1.815,0.00273972602739726
0.0001,2.5,1.881,0.00273972602739726
0.0001,2.5,1.957,0.00273972602739726
0.0001,2.5,2.01,0.00273972602739726
0.0001,2.5,2.073,0.00273972602739726
0.0001,2.5,2.168,0.00273972602739726
0.0001,2.5,2.218,0.00273972602739726
0.0001,2.5,2.229,0.00273972602739726
0.0001,2.5,2.23,0.00273972602739726
0.0002,2.5,2.232,0.00273972602739726
0.0001,2.5,2.255,0.00273972602739726
0.0008,2.5,2.265,0.00273972602739726
0.0001,2.5,2.267,0.00273972602739726
0.0001,2.5,2.276,0.00273972602739726
0.0095,2.5,2.308,0.00273972602739726
0.002,2.5,2.353,0.00273972602739726
0.0001,2.5,2.358,0.00273972602739726
0.0122,2.5,2.408,0.00273972602739726
0.0279,2.5,2.423,0.00273972602739726
0.064,2.5,2.429,0.00273972602739726
0.0274,2.5,2.431,0.00273972602739726
0.1465,2.5,2.445,0.00273972602739726
0.1,2.5,2.509,0.00273972602739726
0.11,2.5,2.518,0.00273972602739726
0.183,2.5,2.541,0.00273972602739726
0.189,2.5,2.547,0.00273972602739726
0.2684,2.5,2.565,0.00273972602739726
0.231,2.5,2.587,0.00273972602739726
0.2177,2.5,2.621,0.00273972602739726
0.218,2.5,2.622,0.00273972602739726
0.192,2.5,2.649,0.00273972602739726
0.222,2.5,2.678,0.00273972602739726
0.228,2.5,2.684,0.00273972602739726
0.4795,2.5,2.758,0.00273972602739726
0.419,2.5,2.872,0.00273972602739726
0.423,2.5,2.876,0.00273972602739726
0.4004,2.5,2.899,0.00273972602739726
0.6414,2.5,2.911,0.00273972602739726
0.463,2.5,2.916,0.00273972602739726
0.487,2.5,2.939,0.00273972602739726
0.8203,2.5,3.077,0.00273972602739726
0.235,2.504,2.643,0.00273972602739726
0.389,2.504,2.791,0.00273972602739726
0.0001,2.549,2.255,0.00273972602739726
0.0001,2.549,2.358,0.00273972602739726
0.143,2.549,2.649,0.00273972602739726
0.3701,2.549,2.872,0.00273972602739726
0.0001,2.55,1.748,0.00273972602739726
0.0001,2.55,1.815,0.00273972602739726
0.0001,2.55,1.881,0.00273972602739726
0.0001,2.55,1.957,0.00273972602739726
0.0001,2.55,2.01,0.00273972602739726
0.0001,2.55,2.073,0.00273972602739726
0.0001,2.55,2.168,0.00273972602739726
0.0001,2.55,2.229,0.00273972602739726
0.0001,2.55,2.23,0.00273972602739726
0.0001,2.55,2.255,0.00273972602739726
0.0003,2.55,2.265,0.00273972602739726
0.0011,2.55,2.308,0.00273972602739726
0.0004,2.55,2.353,0.00273972602739726
0.0001,2.55,2.358,0.00273972602739726
0.0014,2.55,2.408,0.00273972602739726
0.0096,2.55,2.423,0.00273972602739726
0.0147,2.55,2.429,0.00273972602739726
0.0059,2.55,2.431,0.00273972602739726
0.091,2.55,2.445,0.00273972602739726
0.05,2.55,2.509,0.00273972602739726
0.06,2.55,2.518,0.00273972602739726
0.133,2.55,2.541,0.00273972602739726
0.139,2.55,2.547,0.00273972602739726
0.2184,2.55,2.565,0.00273972602739726
0.181,2.55,2.587,0.00273972602739726
0.167,2.55,2.621,0.00273972602739726
0.168,2.55,2.622,0.00273972602739726
0.189,2.55,2.643,0.00273972602739726
0.1422,2.55,2.649,0.00273972602739726
0.172,2.55,2.678,0.00273972602739726
0.178,2.55,2.684,0.00273972602739726
0.4265,2.55,2.758,0.00273972602739726
0.3695,2.55,2.872,0.00273972602739726
0.373,2.55,2.876,0.00273972602739726
0.3507,2.55,2.899,0.00273972602739726
0.5916,2.55,2.911,0.00273972602739726
0.413,2.55,2.916,0.00273972602739726
0.437,2.55,2.939,0.00273972602739726
0.7706,2.55,3.077,0.00273972602739726
0.186,2.553,2.643,0.00273972602739726
0.34,2.553,2.791,0.00273972602739726
0.07,2.558,2.627,0.00273972602739726
0.0001,2.598,2.255,0.00273972602739726
0.0001,2.598,2.358,0.00273972602739726
0.0959,2.598,2.649,0.00273972602739726
0.321,2.598,2.872,0.00273972602739726
0.0001,2.6,1.748,0.00273972602739726
0.0001,2.6,1.815,0.00273972602739726
0.0001,2.6,1.881,0.00273972602739726
0.0001,2.6,1.957,0.00273972602739726
0.0001,2.6,2.01,0.00273972602739726
0.0001,2.6,2.073,0.00273972602739726
0.0001,2.6,2.255,0.00273972602739726
0.0003,2.6,2.265,0.00273972602739726
0.0003,2.6,2.308,0.00273972602739726
0.0002,2.6,2.353,0.00273972602739726
0.0001,2.6,2.358,0.00273972602739726
0.0001,2.6,2.408,0.00273972602739726
0.0027,2.6,2.423,0.00273972602739726
0.0006,2.6,2.429,0.00273972602739726
0.0004,2.6,2.431,0.00273972602739726
0.0437,2.6,2.445,0.00273972602739726
0.0106,2.6,2.509,0.00273972602739726
0.0195,2.6,2.518,0.00273972602739726
0.083,2.6,2.541,0.00273972602739726
0.089,2.6,2.547,0.00273972602739726
0.1685,2.6,2.565,0.00273972602739726
0.131,2.6,2.587,0.00273972602739726
0.117,2.6,2.621,0.00273972602739726
0.118,2.6,2.622,0.00273972602739726
0.0361,2.6,2.627,0.00273972602739726
0.139,2.6,2.643,0.00273972602739726
0.092,2.6,2.649,0.00273972602739726
0.206,2.6,2.658,0.00273972602739726
0.122,2.6,2.678,0.00273972602739726
0.128,2.6,2.684,0.00273972602739726
0.3791,2.6,2.758,0.00273972602739726
0.32,2.6,2.817,0.00273972602739726
0.3192,2.6,2.872,0.00273972602739726
0.323,2.6,2.876,0.00273972602739726
0.446,2.6,2.885,0.00273972602739726
0.334,2.6,2.887,0.00273972602739726
0.3007,2.6,2.899,0.00273972602739726
0.5414,2.6,2.911,0.00273972602739726
0.363,2.6,2.916,0.00273972602739726
0.387,2.6,2.939,0.00273972602739726
0.7203,2.6,3.077,0.00273972602739726
0.137,2.602,2.643,0.00273972602739726
0.291,2.602,2.791,0.00273972602739726
0.0315,2.607,2.627,0.00273972602739726
0.0001,2.647,2.255,0.00273972602739726
0.0474,2.647,2.649,0.00273972602739726
0.272,2.647,2.872,0.00273972602739726
0.0001,2.65,1.748,0.00273972602739726
0.0001,2.65,1.957,0.00273972602739726
0.0001,2.65,2.01,0.00273972602739726
0.0001,2.65,2.073,0.00273972602739726
0.0001,2.65,2.255,0.00273972602739726
0.0002,2.65,2.265,0.00273972602739726
0.0003,2.65,2.308,0.00273972602739726
0.0001,2.65,2.353,0.00273972602739726
0.0001,2.65,2.358,0.00273972602739726
0.0001,2.65,2.408,0.00273972602739726
0.0009,2.65,2.423,0.00273972602739726
0.0002,2.65,2.429,0.00273972602739726
0.0002,2.65,2.431,0.00273972602739726
0.0118,2.65,2.445,0.00273972602739726
0.0012,2.65,2.509,0.00273972602739726
0.0041,2.65,2.518,0.00273972602739726
0.033,2.65,2.541,0.00273972602739726
0.039,2.65,2.547,0.00273972602739726
0.1183,2.65,2.565,0.00273972602739726
0.081,2.65,2.587,0.00273972602739726
0.067,2.65,2.621,0.00273972602739726
0.068,2.65,2.622,0.00273972602739726
0.0119,2.65,2.627,0.00273972602739726
0.089,2.65,2.643,0.00273972602739726
0.046,2.65,2.649,0.00273972602739726
0.156,2.65,2.658,0.00273972602739726
0.072,2.65,2.678,0.00273972602739726
0.0798,2.65,2.684,0.00273972602739726
0.3267,2.65,2.758,0.00273972602739726
0.27,2.65,2.817,0.00273972602739726
0.269,2.65,2.872,0.00273972602739726
0.273,2.65,2.876,0.00273972602739726
0.396,2.65,2.885,0.00273972602739726
0.284,2.65,2.887,0.00273972602739726
0.2503,2.65,2.899,0.00273972602739726
0.4914,2.65,2.911,0.00273972602739726
0.313,2.65,2.916,0.00273972602739726
0.337,2.65,2.939,0.00273972602739726
0.523,2.65,3.061,0.00273972602739726
0.6704,2.65,3.077,0.00273972602739726
0.0002,2.651,2.431,0.00273972602739726
0.088,2.651,2.643,0.00273972602739726
0.242,2.651,2.791,0.00273972602739726
0.0099,2.657,2.627,0.00273972602739726
0.0001,2.696,2.255,0.00273972602739726
0.0139,2.696,2.649,0.00273972602739726
0.2249,2.696,2.872,0.00273972602739726
0.0001,2.7,1.748,0.00273972602739726
0.0001,2.7,2.01,0.00273972602739726
0.0001,2.7,2.073,0.00273972602739726
0.0001,2.7,2.255,0.00273972602739726
0.0002,2.7,2.308,0.00273972602739726
0.0001,2.7,2.353,0.00273972602739726
0.0001,2.7,2.358,0.00273972602739726
0.0001,2.7,2.408,0.00273972602739726
0.0003,2.7,2.423,0.00273972602739726
0.0002,2.7,2.431,0.00273972602739726
0.0016,2.7,2.445,0.00273972602739726
0.0002,2.7,2.509,0.00273972602739726
0.0006,2.7,2.518,0.00273972602739726
0.0028,2.7,2.541,0.00273972602739726
0.0036,2.7,2.547,0.00273972602739726
0.0734,2.7,2.565,0.00273972602739726
0.0315,2.7,2.587,0.00273972602739726
0.023,2.7,2.621,0.00273972602739726
0.0275,2.7,2.622,0.00273972602739726
0.0035,2.7,2.627,0.00273972602739726
0.0403,2.7,2.643,0.00273972602739726
0.0122,2.7,2.649,0.00273972602739726
0.106,2.7,2.658,0.00273972602739726
0.0258,2.7,2.678,0.00273972602739726
0.0396,2.7,2.684,0.00273972602739726
0.2766,2.7,2.758,0.00273972602739726
0.193,2.7,2.791,0.00273972602739726
0.22,2.7,2.817,0.00273972602739726
0.219,2.7,2.872,0.00273972602739726
0.223,2.7,2.876,0.00273972602739726
0.346,2.7,2.885,0.00273972602739726
0.234,2.7,2.887,0.00273972602739726
0.2021,2.7,2.899,0.00273972602739726
0.4415,2.7,2.911,0.00273972602739726
0.263,2.7,2.916,0.00273972602739726
0.287,2.7,2.939,0.00273972602739726
0.319,2.7,2.971,0.00273972602739726
0.3084,2.7,3.007,0.00273972602739726
0.473,2.7,3.061,0.00273972602739726
0.6206,2.7,3.077,0.00273972602739726
0.0029,2.706,2.627,0.00273972602739726
0.0001,2.745,2.255,0.00273972602739726
0.0019,2.745,2.649,0.00273972602739726
0.174,2.745,2.872,0.00273972602739726
0.0002,2.749,2.431,0.00273972602739726
0.0138,2.749,2.643,0.00273972602739726
0.144,2.749,2.791,0.00273972602739726
0.0001,2.75,1.748,0.00273972602739726
0.0001,2.75,2.01,0.00273972602739726
0.0001,2.75,2.073,0.00273972602739726
0.0002,2.75,2.308,0.00273972602739726
0.0001,2.75,2.353,0.00273972602739726
0.0001,2.75,2.408,0.00273972602739726
0.0001,2.75,2.423,0.00273972602739726
0.0002,2.75,2.431,0.00273972602739726
0.0003,2.75,2.445,0.00273972602739726
0.0002,2.75,2.509,0.00273972602739726
0.0002,2.75,2.518,0.00273972602739726
0.0001,2.75,2.541,0.00273972602739726
0.0001,2.75,2.547,0.00273972602739726
0.0382,2.75,2.565,0.00273972602739726
